name,age,value,nationality,overall,potential,club
S. Skrzybski,25,€4.8M,Germany,73,74,FC Schalke 04
N. Rehnen,21,€500K,Germany,63,74,SC Fortuna Köln
J. Rothwell,23,€950K,England,66,74,Blackburn Rovers
B. Rother,21,€1.1M,Germany,68,74,1. FC Magdeburg
J. Emmanuel,20,€825K,England,66,74,Shrewsbury
U. Ikpeazu,23,€1.2M,England,68,74,Heart of Midlothian
De la Bella,32,€3.1M,Spain,74,74,UD Las Palmas
Óscar Plano,27,€6M,Spain,74,74,Real Valladolid CF
Alex Alegría,25,€3M,Spain,71,74,Rayo Vallecano
J. Dacres-Cogley,22,€700K,England,65,74,Birmingham City
L. Grant,35,€1.3M,England,74,74,Manchester United
Juanfran,29,€4.3M,Spain,74,74,CD Leganés
D. Drexler,28,€5.5M,Germany,74,74,1. FC Köln
Nacho,29,€4.3M,Spain,74,74,Real Valladolid CF
M. Bakalorz,28,€4.6M,Germany,74,74,Hannover 96
Carmona,30,€5.5M,Spain,74,74,Real Sporting de Gijón
Julen López,22,€625K,Spain,64,74,SD Eibar
F. Ananou,20,€725K,Germany,65,74,FC Ingolstadt 04
M. Franke,25,€1.9M,Germany,70,74,SV Darmstadt 98
F. Bastians,30,€4.2M,Germany,74,74,Tianjin TEDA FC
D. Gosling,28,€5.5M,England,74,74,Bournemouth
L. Grabban,30,€5.5M,England,74,74,Nottingham Forest
Gaspar,20,€950K,Spain,66,74,UD Almería
Tana,27,€6M,Spain,74,74,UD Las Palmas
Juan Cala,28,€4.6M,Spain,74,74,UD Las Palmas
J. Moore-Taylor,24,€925K,England,67,74,Milton Keynes Dons
Bruno Saltor,37,€650K,Spain,74,74,Brighton & Hove Albion
J. Ginnelly,21,€950K,England,66,74,Walsall
Crespo,31,€3.8M,Spain,74,74,PAOK
Fornos,21,€550K,Spain,63,74,Deportivo de La Coruña
Dani Pacheco,27,€6M,Spain,74,74,Málaga CF
J. Livermore,28,€5.5M,England,74,74,West Bromwich Albion
D. Simpson,31,€3.7M,England,74,74,Leicester City
R. Shawcross,30,€4.2M,England,74,74,Stoke City
Dídac Vilà,29,€4.3M,Spain,74,74,RCD Espanyol
Iñigo Pérez,30,€4.2M,Spain,74,74,CA Osasuna
Seoane,35,€1.3M,Spain,74,74,CD Lugo
B. Thompson,22,€1.1M,England,67,74,Portsmouth
Juan Pérez,21,€500K,Spain,63,74,CA Osasuna
Míchel,29,€5.5M,Spain,74,74,Real Valladolid CF
T. Sippel,30,€3.6M,Germany,74,74,Borussia Mönchengladbach
Alexis,32,€3.2M,Spain,74,74,Al Ahli
Y. Regäsel,22,€900K,Germany,67,74,MSV Duisburg
Alberto,33,€2.8M,Spain,74,74,Rayo Vallecano
Raúl Fernández,30,€3.6M,Spain,74,74,UD Las Palmas
A. Beck,31,€3.7M,Germany,74,74,VfB Stuttgart
L. Zander,22,€900K,Germany,67,74,FC St. Pauli
Curro Sánchez,22,€1.1M,Spain,67,74,Sevilla FC
Joselu,28,€6M,Spain,74,74,Newcastle United
C. Träsch,30,€4.2M,Germany,74,74,FC Ingolstadt 04
Guerrero,27,€6M,Spain,74,74,Olympiacos CFP
L. Sobiech,27,€4.7M,Germany,74,74,1. FC Köln
Luis Muñoz,21,€650K,Spain,64,74,Córdoba CF
Edu Cortina,21,€625K,Spain,63,74,Real Oviedo
Arribas,29,€4.4M,Spain,74,74,U.N.A.M.
K. Broll,22,€800K,Germany,67,74,SG Sonnenhof Großaspach
Diego Barri,22,€550K,Spain,63,74,Albacete BP
Redru,21,€550K,Spain,63,74,Elche CF
L. Boeder,21,€900K,Germany,67,74,SC Paderborn 07
Salva Ferrer,20,€550K,Spain,63,74,Gimnàstic de Tarragona
M. Obiero,17,€250K,England,58,73,Huddersfield Town
A. Hahn,27,€4.2M,Germany,73,73,FC Augsburg
M. Bauer,18,€240K,Germany,58,73,SpVgg Greuther Fürth
F. Hartherz,25,€1.1M,Germany,69,73,DSC Arminia Bielefeld
Pedro López,21,€450K,Spain,62,73,CD Lugo
L. Thy,26,€2.2M,Germany,70,73,BB Erzurumspor
S. Bone,19,€250K,England,58,73,Shamrock Rovers
J. Möbius,21,€525K,Germany,62,73,Karlsruher SC
F. Baak,19,€450K,Germany,62,73,Hertha BSC
José González,22,€675K,Spain,64,73,Granada CF
Perera,21,€450K,Spain,62,73,Deportivo Alavés
Dani Cárdenas,21,€450K,Spain,63,73,Levante UD
M. Casey,18,€110K,England,53,73,Portsmouth
David García,24,€1M,Spain,68,73,CA Osasuna
A. Papadopoulos,18,€110K,Germany,53,73,VfR Aalen
J. Howson,30,€3.7M,England,73,73,Middlesbrough
T. Hamer,18,€110K,England,53,73,Oldham Athletic
D. Watmore,24,€1.2M,England,68,73,Sunderland
D. Asonganyi,17,€70K,England,50,73,Milton Keynes Dons
N. Kijewski,22,€675K,Germany,65,73,Eintracht Braunschweig
M. Willock,21,€525K,England,62,73,St. Mirren
M. Cacutalua,23,€1M,Germany,68,73,FC Erzgebirge Aue
I. Buckley-Ricketts,20,€525K,England,62,73,Peterborough United
C. Dunkley,26,€1.8M,England,70,73,Wigan Athletic
S. Humphrys,20,€525K,England,62,73,Scunthorpe United
N. Bungert,31,€2.7M,Germany,73,73,1. FSV Mainz 05
J. Sinclair,21,€525K,England,62,73,Sunderland
H. Dean,26,€2.4M,England,71,73,Birmingham City
C. Roberts,21,€450K,England,61,73,Newcastle United
M. Rensing,34,€1.6M,Germany,73,73,Fortuna Düsseldorf
P. Knechtel,22,€400K,Germany,61,73,FC Energie Cottbus
Joan Monterde,20,€600K,Spain,63,73,Levante UD
H. Mörschel,20,€450K,Germany,61,73,Holstein Kiel
M. Ingram,24,€600K,England,65,73,Queens Park Rangers
D. Jaiyesimi,20,€450K,England,61,73,Yeovil Town
M. Steinmann,23,€775K,Germany,66,73,Hamburger SV
L. Dietz,21,€400K,Germany,61,73,VfL Sportfreunde Lotte
Einar Galilea,24,€675K,Spain,65,73,FC Sochaux-Montbéliard
Víctor Gómez,18,€160K,Spain,55,73,RCD Espanyol
R. Colclough,23,€1M,England,67,73,Scunthorpe United
Brian Torres,21,€400K,Spain,61,73,CD Tenerife
Juan Ibiza,22,€600K,Spain,64,73,UD Almería
Robert Sanchez,20,€350K,Spain,61,73,Forest Green Rovers
J. McEachran,25,€2.2M,England,70,73,Brentford
M. Butcher,21,€450K,England,61,73,Bournemouth
Riesgo,34,€1.6M,Spain,73,73,SD Eibar
F. Becker,18,€180K,Germany,56,73,FC St. Pauli
Abraham González,32,€3M,Spain,73,73,Lobos BUAP
A. Eisa,21,€450K,England,61,73,Shrewsbury
Marc Mateu,28,€4M,Spain,73,73,CD Numancia
L. Charman,20,€400K,England,60,73,Accrington Stanley
J. Nietfeld,24,€1.1M,Germany,67,73,SSV Jahn Regensburg
C. Lang,19,€190K,England,56,73,Oldham Athletic
C. Antwi-Adjej,24,€1.2M,Germany,68,73,SC Paderborn 07
G. Siadas,18,€190K,Germany,57,73,Fortuna Düsseldorf
Pablo Larrea,24,€775K,Spain,66,73,CD Numancia
Sebas Moyano,21,€400K,Spain,60,73,Córdoba CF
C. Clemens,26,€4.3M,Germany,73,73,1. FC Köln
C. Thompson,18,€220K,England,57,73,Fulham
Víctor Rodríguez,28,€4M,Spain,73,73,Seattle Sounders FC
B. Fox,20,€230K,England,57,73,Burton Albion
Bóveda,29,€3M,Spain,73,73,Deportivo de La Coruña
Sergio Moreno,19,€400K,Spain,60,73,Rayo Vallecano
G. Moncur,24,€1.2M,England,68,73,Barnsley
F. Krüger,19,€400K,Germany,60,73,FC Erzgebirge Aue
Bernabé,25,€750K,Spain,67,73,Gimnàstic de Tarragona
Sergi Álamo,20,€350K,Spain,60,73,Girona FC
A. MacDonald,25,€1M,England,68,73,Hull City
C. Jordan,19,€300K,England,59,73,Bournemouth
Caro,24,€750K,Spain,67,73,Albacete BP
H. Anderson,21,€525K,England,62,73,Lincoln City
D. Reimann,21,€450K,Germany,63,73,Holstein Kiel
M. Wolfe,18,€80K,England,51,73,Barnsley
J. Dehm,22,€600K,Germany,64,73,Holstein Kiel
W. Patching,19,€325K,England,59,73,Notts County
M. Knoll,27,€3.4M,Germany,73,73,FC St. Pauli
F. Agu,18,€290K,Germany,59,73,VfL Osnabrück
G. Hooper,30,€3.9M,England,73,73,Sheffield Wednesday
S. Seddon,20,€200K,England,57,73,Stevenage
S. Maier,24,€1.2M,Germany,68,73,VfL Bochum 1848
A. Curry,21,€250K,England,58,73,Hull City
A. Hunter,22,€800K,England,65,73,Fleetwood Town
T. Baller,19,€270K,Germany,58,73,Hannover 96
Adrián Gómez,24,€600K,Spain,64,73,Albacete BP
J. Anthony,18,€260K,England,58,73,Bournemouth
J. Föhrenbach,22,€875K,Germany,67,73,SSV Jahn Regensburg
F. Schwarzholz,18,€240K,Germany,58,73,FC Augsburg
K. Reichel,31,€2.6M,Germany,73,73,1. FC Union Berlin
J. Powell,19,€270K,England,58,73,West Ham United
Castro,23,€1.1M,Spain,67,73,RCD Mallorca
Martín,18,€240K,Spain,58,73,Rayo Vallecano
Mario Barco,25,€1.2M,Spain,68,73,Cádiz CF
P. Hofmann,25,€1.2M,Germany,68,73,Eintracht Braunschweig
Fali,24,€900K,Spain,67,73,Gimnàstic de Tarragona
Unai García,25,€1M,Spain,68,73,CA Osasuna
C. Ripley,25,€850K,England,68,73,Accrington Stanley
Alberto Benito,26,€1.8M,Spain,70,73,Real Zaragoza
R. Andrich,23,€1.2M,Germany,68,73,1. FC Heidenheim 1846
T. Skarke,21,€925K,Germany,66,73,1. FC Heidenheim 1846
Pol García,23,€900K,Spain,67,73,Sint-Truidense VV
P. Weihrauch,24,€1.2M,Germany,68,73,DSC Arminia Bielefeld
Adrián González,30,€3M,Spain,73,73,Málaga CF
P. Klewin,24,€750K,Germany,67,73,DSC Arminia Bielefeld
M. Palmer,23,€1.2M,England,68,73,Rotherham United
T. Boss,25,€750K,Germany,67,73,SG Dynamo Dresden
R. Hennings,30,€3.9M,Germany,73,73,Fortuna Düsseldorf
B. Haunstrup,21,€450K,England,62,73,Portsmouth
Loureiro,21,€675K,Spain,65,73,Córdoba CF
A. Lucoqui,20,€525K,Germany,63,73,DSC Arminia Bielefeld
Fran Mérida,28,€2.8M,Spain,72,73,CA Osasuna
Álvaro,27,€3.6M,Spain,72,73,Real Zaragoza
Kevin,25,€975K,Spain,68,73,RC Celta
Josemi,20,€600K,Spain,63,73,UD Las Palmas
Luis Valcarce,25,€975K,Spain,68,73,CD Numancia
O. Sorg,28,€3.2M,Germany,73,73,Hannover 96
M. Heller,32,€3.1M,Germany,73,73,SV Darmstadt 98
R. Czichos,28,€3.2M,Germany,73,73,1. FC Köln
J. Horsfield,22,€675K,England,65,73,Scunthorpe United
S. Raggett,24,€900K,England,67,73,Rotherham United
D. Cole,23,€925K,England,66,73,Burton Albion
D. Burn,26,€2.4M,England,71,73,Wigan Athletic
S. Polter,27,€3.6M,Germany,72,73,1. FC Union Berlin
S. Carson,32,€2.3M,England,73,73,Derby County
M. Maddison,24,€2.3M,England,70,73,Peterborough United
T. Browning,24,€1M,England,68,73,Everton
S. Kaikai,22,€1M,England,67,73,Crystal Palace
F. Porath,21,€800K,Germany,65,73,SpVgg Unterhaching
M. Grimes,22,€1M,England,67,73,Swansea City
F. Pick,22,€800K,Germany,65,73,1. FC Kaiserslautern
A. Baumjohann,31,€3.5M,Germany,73,73,Western Sydney Wanderers
Cifuentes,39,€270K,Spain,73,73,Cádiz CF
T. Baumgart,20,€600K,Germany,63,73,FC Erzgebirge Aue
Aitor Sanz,33,€1.6M,Spain,73,73,CD Tenerife
Diego Parras,22,€675K,Spain,65,73,UD Las Palmas
J. Grant,23,€1.2M,England,68,73,Luton Town
Etxeita,30,€3M,Spain,73,73,SD Huesca
Ratón,25,€975K,Spain,69,73,Real Zaragoza
Pol Llonch,25,€1.9M,Spain,70,73,Willem II
Oriol Rosell,25,€1.1M,Spain,69,73,Orlando City SC
Aitor Ruibal,22,€700K,Spain,64,73,CF Rayo Majadahonda
J. Müller,24,€1M,Germany,68,73,SG Dynamo Dresden
L. Schweers,22,€900K,Germany,67,73,SC Preußen Münster
E. Oelschlägel,22,€525K,Germany,64,73,Borussia Dortmund
S. Zoller,27,€4.3M,Germany,73,73,1. FC Köln
Cristian Herrera,27,€3.6M,Spain,72,73,CD Lugo
Joselu,27,€3.6M,Spain,72,73,Real Oviedo
Alberto,25,€1.1M,Spain,69,73,CD Tenerife
S. Ernst,23,€900K,Germany,66,73,SpVgg Greuther Fürth
T. Kane,24,€1M,England,68,73,Hull City
J. Schieber,29,€4M,Germany,73,73,FC Augsburg
Clerc,26,€1.8M,Spain,70,73,CA Osasuna
A. Voglsammer,26,€2.9M,Germany,71,73,DSC Arminia Bielefeld
Sergio Tejera,28,€3.2M,Spain,73,73,Real Oviedo
S. Schonlau,23,€1.2M,Germany,69,73,SC Paderborn 07
J. Swift,23,€1.2M,England,68,73,Reading
Fabio González,21,€700K,Spain,65,73,UD Las Palmas
O. Kragl,28,€4M,Germany,73,73,Foggia
A. Luthe,31,€2.4M,Germany,73,73,FC Augsburg
J. Ward,28,€3.2M,England,73,73,Crystal Palace
C. Löwe,29,€3M,Germany,73,73,Huddersfield Town
M. Pack,27,€3.5M,England,72,73,Bristol City
R. Inniss,23,€775K,England,66,73,Dundee FC
K. Eisele,23,€525K,Germany,64,73,Hallescher FC
B. Barker,21,€925K,England,66,73,Preston North End
M. Schwäbe,23,€750K,Germany,67,73,Brøndby IF
Xesc Regis,21,€700K,Spain,64,73,SD Eibar
Salvi Sánchez,27,€4.2M,Spain,73,73,Cádiz CF
J. Blaswich,27,€925K,Germany,69,73,Heracles Almelo
Guridi,23,€775K,Spain,65,73,Real Sociedad
M. Russ,32,€2.3M,Germany,73,73,Eintracht Frankfurt
J. Vela,24,€1.2M,England,68,73,Bolton Wanderers
T. Lees,27,€2.9M,England,72,73,Sheffield Wednesday
P. Ziereis,25,€1.1M,Germany,69,73,FC St. Pauli
A. Clayton,29,€3.1M,England,73,73,Middlesbrough
T. Huddlestone,31,€2.7M,England,73,73,Derby County
Isma Cerro,22,€900K,Spain,66,73,Real Sporting de Gijón
C. Edwards,24,€1.3M,England,69,73,Östersunds FK
E. Taffertshofer,23,€1M,Germany,68,73,SV Sandhausen
S. Hutchinson,27,€3.4M,England,73,73,Millwall
Raul García,29,€3M,Spain,73,73,CD Leganés
T. Eisfeld,25,€2.2M,Germany,70,73,VfL Bochum 1848
Erik Morán,27,€2.3M,Spain,71,73,AEK Athens
Dalmau,24,€1.2M,Spain,68,73,Heracles Almelo
J. Lewis,30,€2.6M,England,73,73,Aberdeen
Molinero,32,€2.2M,Spain,73,73,Real Sporting de Gijón
F. Ballas,25,€1.9M,Germany,70,73,SG Dynamo Dresden
J. Elliott,22,€1M,England,68,73,Philadelphia Union
Sergio Herrera,25,€2M,Spain,71,73,CA Osasuna
Campabadal,25,€975K,Spain,68,73,CD Lugo
A. Barylla,21,€675K,Germany,65,73,FSV Zwickau
S. Clucas,27,€4.2M,England,73,73,Stoke City
Juan Villar,30,€3.8M,Spain,73,73,CA Osasuna
O. Hüsing,25,€1.9M,Germany,70,73,FC Hansa Rostock
K. Naughton,29,€3M,England,73,73,Swansea City
Lombán,31,€2.7M,Spain,73,73,Málaga CF
Omar Ramos,30,€3.8M,Spain,73,73,Real Oviedo
R. Bennett,28,€3.2M,England,73,73,Wolverhampton Wanderers
J. Lumley,23,€525K,England,64,73,Queens Park Rangers
Edu Ramos,26,€1.1M,Spain,69,73,Cádiz CF
Pablo Pérez,24,€1.4M,Spain,69,73,Real Sporting de Gijón
Catena,23,€900K,Spain,67,73,CF Reus Deportiu
M. Frantz,31,€3.4M,Germany,73,73,SC Freiburg
Brugui,21,€600K,Spain,63,73,Gimnàstic de Tarragona
Alex Bergantiños,33,€1.6M,Spain,73,73,Deportivo de La Coruña
Javi Jiménez,21,€700K,Spain,65,73,Valencia CF
Botía,29,€3.1M,Spain,73,73,Al Hilal
Kike,18,€400K,Spain,62,72,Rayo Vallecano
Manu Del Moral,34,€1.6M,Spain,72,72,Gimnàstic de Tarragona
S. Rhein,20,€425K,Germany,62,72,1. FC Nürnberg
Omar Perdomo,24,€1.3M,Spain,69,72,Gimnàstic de Tarragona
A. Long,17,€120K,England,54,72,Wigan Athletic
Luso,33,€1.3M,Spain,72,72,CF Rayo Majadahonda
J. Ponticelli,19,€200K,England,56,72,Macclesfield Town
K. Kraus,25,€1.1M,Germany,69,72,1. FC Kaiserslautern
J. Galić,18,€150K,Germany,55,72,SV Darmstadt 98
Raillo,26,€1.1M,Spain,69,72,RCD Mallorca
S. Harrison,20,€450K,England,61,72,Tottenham Hotspur
Laure,33,€1.2M,Spain,72,72,AD Alcorcón
A. Karazor,21,€425K,Germany,62,72,Holstein Kiel
T. Moore,20,€650K,England,65,72,Plymouth Argyle
T. Watson,21,€325K,England,60,72,AFC Wimbledon
R. Krauße,24,€1.1M,Germany,69,72,FC Ingolstadt 04
L. Coordes,19,€220K,Germany,57,72,FC St. Pauli
M. Power,24,€875K,England,67,72,Sunderland
Javito,17,€160K,Spain,56,72,SD Huesca
M. Schröter,22,€750K,Germany,66,72,FSV Zwickau
L. Gottwalt,20,€325K,Germany,60,72,1. FC Kaiserslautern
J. Günther-Schmidt,23,€775K,Germany,65,72,FC Carl Zeiss Jena
J. Zickert,20,€325K,Germany,60,72,FC Energie Cottbus
B. Schmitz,23,€1.1M,Germany,69,72,1. FC Köln
D. N'Lundulu,19,€375K,England,60,72,Southampton
L. Roberts,23,€650K,England,66,72,Walsall
L. Krüger,18,€260K,Germany,58,72,RB Leipzig
G. Honeyman,23,€750K,England,65,72,Sunderland
J. Barrett,18,€190K,England,57,72,Huddersfield Town
G. Long,24,€725K,England,67,72,Hull City
A. Morley,18,€260K,England,58,72,Rochdale
D. Volkmer,22,€650K,Germany,65,72,SSV Jahn Regensburg
W. Huffer,19,€160K,England,55,72,Leeds United
Jairo Morillas,24,€1M,Spain,67,72,V-Varen Nagasaki
M. Howard,18,€140K,England,54,72,Preston North End
S. Breitkreuz,26,€1.1M,Germany,69,72,FC Erzgebirge Aue
T. O'Neill,18,€190K,England,56,72,Middlesbrough
S. Ameobi,26,€2.8M,England,71,72,Bolton Wanderers
Manu Navarro,17,€325K,Spain,60,72,Rayo Vallecano
Escassi,29,€2.1M,Spain,71,72,CD Numancia
C. John,18,€130K,England,54,72,Wolverhampton Wanderers
J. Hofmann,21,€575K,Germany,63,72,VfL Sportfreunde Lotte
L. O'Brien,19,€270K,England,58,72,Bradford City
R. Leipertz,25,€1.3M,Germany,69,72,FC Ingolstadt 04
O. Jackson,19,€200K,England,57,72,Milton Keynes Dons
J. Paterson,26,€2.8M,England,71,72,Bristol City
Prendes,21,€425K,Spain,62,72,Real Oviedo
M. Busch,23,€850K,Germany,67,72,1. FC Heidenheim 1846
R. Rösch,19,€290K,Germany,59,72,FC Augsburg
N. Sessa,22,€750K,Germany,65,72,VfR Aalen
M. Thalhammer,20,€425K,Germany,61,72,SSV Jahn Regensburg
Dani Jiménez,28,€1.5M,Spain,70,72,AD Alcorcón
M. Kulke,17,€130K,Germany,54,72,SG Dynamo Dresden
M. Wachs,22,€575K,Germany,64,72,SV Wehen Wiesbaden
C. Fox,19,€200K,England,57,72,Wycombe Wanderers
F. Lohkemper,23,€775K,Germany,65,72,1. FC Magdeburg
Viti,21,€475K,Spain,62,72,Gimnàstic de Tarragona
M. Litka,22,€500K,Germany,62,72,KFC Uerdingen 05
T. Mitchell,18,€160K,England,55,72,Crystal Palace
R. James,24,€975K,England,68,72,Sunderland
A. Bates,17,€120K,England,53,72,Walsall
A. Syhre,23,€750K,Germany,66,72,FC Würzburger Kickers
D. Revan,17,€110K,England,53,72,Aston Villa
Pinillos,25,€1.1M,Spain,69,72,Barnsley
C. James,20,€250K,England,58,72,Colchester United
P. Klement,25,€2.8M,Germany,71,72,SC Paderborn 07
Gori López,19,€350K,Spain,60,72,CF Reus Deportiu
Andrés Prieto,24,€650K,Spain,66,72,Málaga CF
J. Hardy,19,€280K,England,58,72,Brentford
Alfred,22,€750K,Spain,65,72,CF Reus Deportiu
L. Travis,20,€280K,England,58,72,Blackburn Rovers
A. Gogia,26,€2.8M,Germany,71,72,1. FC Union Berlin
N. Baxter,19,€325K,England,61,72,Yeovil Town
J. Brinkies,25,€825K,Germany,68,72,FSV Zwickau
J. Krahl,18,€210K,Germany,58,72,RB Leipzig
Bolaños,23,€550K,Spain,63,72,CD Tenerife
T. Warschewski,20,€450K,Germany,61,72,SC Preußen Münster
W. Vaulks,24,€1.8M,England,70,72,Rotherham United
R. Campbell,17,€100K,England,52,72,Notts County
J. Nikolaou,24,€875K,Germany,67,72,SG Dynamo Dresden
Alberto Redondo,21,€425K,Spain,62,72,Getafe CF
A. Forshaw,26,€2.7M,England,71,72,Leeds United
A. Groiß,20,€425K,Germany,62,72,Karlsruher SC
C. Nelson,25,€650K,England,65,72,Oxford United
T. Weiner,19,€230K,Germany,59,72,Holstein Kiel
J. Meffert,23,€975K,Germany,68,72,Holstein Kiel
G. McGregor,19,€270K,England,58,72,Crystal Palace
Borja Fernández,22,€550K,Spain,63,72,Miedź Legnica
J. Vollert,20,€375K,Germany,61,72,SV Werder Bremen
Robert Costa,24,€500K,Spain,63,72,RC Celta
Miguel Ángel,20,€425K,Spain,62,72,Getafe CF
Pau Morer,22,€575K,Spain,63,72,Sandefjord Fotball
T. Robinson,20,€250K,England,58,72,Bradford City
N. Lomb,24,€725K,Germany,67,72,SV Sandhausen
R. Sykes,19,€260K,England,59,72,Accrington Stanley
S. Stolze,23,€875K,Germany,66,72,SSV Jahn Regensburg
K. Gordon,20,€230K,England,57,72,Lincoln City
J. Willis,23,€650K,England,65,72,Coventry City
M. Hauptmann,18,€180K,Germany,55,72,SG Dynamo Dresden
T. Chahed,22,€675K,Germany,64,72,1. FC Magdeburg
C. Kirk,20,€230K,England,57,72,Crewe Alexandra
T. Moore,21,€500K,England,63,72,Southend United
M. Awoudja,20,€375K,Germany,61,72,FC Bayern München
Marcelo Djaló,24,€875K,Spain,67,72,Extremadura UD
D. Smith,18,€120K,England,53,72,Portsmouth
C. MacGillivray,25,€625K,England,66,72,Portsmouth
M. O'Leary,21,€350K,England,61,72,Bristol City
M. Hefele,27,€1.7M,Germany,70,72,Nottingham Forest
S. McWilliams,19,€190K,England,56,72,Northampton Town
R. Yalçın,24,€650K,Germany,65,72,Çaykur Rizespor
K. Taylor,18,€280K,England,59,72,Bournemouth
D. Gabriele,23,€750K,Germany,65,72,FC Wacker Innsbruck
P. Owusu,21,€675K,Germany,64,72,DSC Arminia Bielefeld
Fran Rodríguez,23,€750K,Spain,66,72,UD Almería
S. Malone,27,€2.2M,England,71,72,Derby County
C. Grant,23,€650K,England,64,72,Plymouth Argyle
Isi,22,€550K,Spain,63,72,Granada CF
S. Parker,25,€1.2M,Germany,68,72,SpVgg Greuther Fürth
Dani Ojeda,23,€1M,Spain,67,72,CD Leganés
Rubén Yáñez,24,€725K,Spain,67,72,Getafe CF
M. Bähre,22,€575K,Germany,63,72,Barnsley
Pichu Atienza,28,€1.7M,Spain,70,72,CD Numancia
S. Kroll,21,€425K,Germany,63,72,VfL Sportfreunde Lotte
Álvaro Bustos,23,€750K,Spain,65,72,CF Rayo Majadahonda
B. Galloway,22,€850K,England,67,72,Everton
O. Schnitzler,22,€550K,Germany,65,72,SC Preußen Münster
J. Smith,23,€825K,England,68,72,Nottingham Forest
L. Wing,23,€750K,England,65,72,Middlesbrough
H. Weydandt,22,€775K,Germany,65,72,Hannover 96
Pablo Vázquez,23,€575K,Spain,64,72,Granada CF
D. Batth,27,€1.7M,England,70,72,Middlesbrough
Adri Castellano,24,€650K,Spain,65,72,Granada CF
L. Lämmel,20,€575K,Germany,63,72,VfR Aalen
S. Lorenz,21,€575K,Germany,64,72,TSV 1860 München
Pulido,27,€2.2M,Spain,71,72,SD Huesca
Juan Rodríguez,23,€750K,Spain,66,72,Real Sporting de Gijón
Joaquín,22,€975K,Spain,68,72,Real Valladolid CF
K. Müller,27,€1.8M,Germany,71,72,1. FC Heidenheim 1846
J. Ward,22,€675K,England,64,72,Peterborough United
L. Kübler,25,€1.8M,Germany,70,72,SC Freiburg
Carlos Cordero,21,€500K,Spain,63,72,Real Sporting de Gijón
B. Kirsch,22,€550K,Germany,63,72,SpVgg Greuther Fürth
Maikel Mesa,27,€2.7M,Spain,71,72,UD Las Palmas
C. Woodrow,23,€775K,England,65,72,Barnsley
C. Long,23,€775K,England,65,72,Fleetwood Town
C. Lenz,23,€750K,Germany,66,72,1. FC Union Berlin
L. Röser,24,€900K,Germany,66,72,SG Dynamo Dresden
A. Walkes,21,€575K,England,64,72,Portsmouth
C. Avevor,26,€1.8M,Germany,70,72,FC St. Pauli
Cris Salvador,23,€875K,Spain,66,72,Real Sporting de Gijón
Pep Biel,21,€650K,Spain,64,72,Real Zaragoza
S. McQueen,23,€750K,England,66,72,Middlesbrough
N. Landgraf,22,€575K,Germany,64,72,Hallescher FC
M. Multhaup,21,€575K,Germany,63,72,1. FC Heidenheim 1846
G. Cooper,21,€575K,England,63,72,Peterborough United
N. Mendez-Laing,26,€2.8M,England,71,72,Cardiff City
D. Parker,22,€675K,Germany,64,72,1. FSV Mainz 05
C. Harriott,24,€875K,England,66,72,Reading
T. Mings,25,€1.8M,England,70,72,Bournemouth
R. Glatzel,24,€1.2M,Germany,68,72,1. FC Heidenheim 1846
Akieme,20,€850K,Spain,67,72,Rayo Vallecano
D. Gnaase,21,€650K,Germany,64,72,FC Würzburger Kickers
J. Bennett,28,€2.5M,England,72,72,Cardiff City
W. Norris,24,€650K,England,66,72,Wolverhampton Wanderers
A. Çamdalı,34,€950K,Germany,72,72,Çaykur Rizespor
N. Höfler,28,€2.5M,Germany,72,72,SC Freiburg
