ï»¿SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE CITY,DEPARTURE STATE,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
S.S.Cora A Lindsey,,,schooner,,,1/21/1855,1855,1,21,Squan Inlet S 6.5 mi,,,Stranded,,,,,,,,,New Bern,NC,"New York, NY",Day,,,0,,,Terpentine; reson,,Y,N,Total loss,
S.S.Corbella (1857),,,schooner,,,12/18/1857,1857,12,18,Shark River Inlet,40-11-15 N,74-00-00 W,Stranded,,Spain,,,,,,,,,,,12,,,,,,,,N,,
S.S.Cord,,,schooner,,,,,,,Squan Inlet S 5.5 mi,,,Lost,,,,,,,,,,,,,,,,,,,,Y,N,,
S.S.Cordela Newkirk,,John Huntley,schooner,1860,"Nacote Creek, Galloway, NJ",12/17/1877,1877,12,17,Barnegat SE 40 mi,,,Dismasted in hurricane,Wood,US,109.3,28.4,8.5,201.27,191.21,"Philadelphia, PA",Virginia,,"New York, NY",P C Huntley,7,0,0,"$8,000",$800,150 tons pinewood,,N,N,#4962; Towed to Jersey City,
S.S.Cordelia R Price (1875),C R Price,,schooner,1872,"Bass River, NJ",11/18/1875,1875,11,18,Cold Spring Inlet North bar,,,Stranded,Wood,US,64.3,21.9,5.7,42,,"Somers Point, NJ",Chincoteague,VA,"New York, NY",Adams,4,,0,"$6,000","$1,000",Oysters,2 mile Beach #38,N,N,"#125085, Refloated",
S.S.Cordelia R Price (1899),C R Price,,schooner,1872,"Bass River, NJ",12/8/1899,1899,12,8,Great Egg LSS WSW .75 mi,,,Stranded,Wood,US,64.3,21.9,5.7,42,,"Somers Point, NJ",Little Egg Harbor,NJ,"Pleasantville, NJ",York,2,,0,"$2,000","$1,000",,Great Egg,N,N,"#125085, Refloated",
S.S.Cordelia R Price (1900),C R Price,,schooner,1872,"Bass River, NJ",2/16/1900,1900,2,16,Great Egg LSS WSW .75 mi,,,Stranded,Wood,US,64.3,21.9,5.7,42,,"Somers Point, NJ",Pleasantville,NJ,"James River, VA",York,3,,0,"$2,000",,,,N,N,"#125085, Refloated",
S.S.Cordova,Condova,,schooner,,,5/8/1877,1877,5,8,"Cape May Point, Sea Grove",38-55-47 N,74-55-00 W,Grounded,,,,,9,159,150.47,"Bristol, RI",Bristol,RI,"Philadelphia, PA",Ryan,9,,0,"$3,500",,In ballast,Cape May #40,Y,N,#4259; Total loss,
S.S.Cordula,,,schooner,,,1867,1867,,,Squan Beach,,,Stranded,,,,,,127,,,Philadelphia,PA,"Providence, RI",Norton,5,,,,,Coal,,,N,,
S.S.Cornelia M Kingsland,,,schooner,1880,"Greenport, NY",11/23/1895,1895,11,23,Sandy Hook Romer Shoal,,,Stranded,Wood,US,55.1,17.3,7.7,39,37.05,"Greenport, NY",Fire Island,NY,"New York, NY",Maitland,9,,0,"$1,500",$300,Fish,Sandy Hook,Y,N,#125786; Total loss,
S.S.Cornelia Soule,,,schooner,1885,"Madison, CT",3/31/1887,1887,3,31,Brigantine LSS ESE 1.5 mi,,,Stranded,Wood,US,123.6,31,10,306.25,290.94,"New London, CT",Baltimore,MD,"Cambridge, MA",Francis,6,,0,"$15,000","$2,400",Coal,S Brigantine & Atlantic City,N,Y,#126324; Partial loss; Refloated,
S.S.Cornelius Hargrave,,John F Allen,schooner,1889,"Camden, ME",10/30/1890,1890,10,30,Barnegat Light E 8 mi,39-47-425 N,73-55-558 W,"Collision w/ ""Vizcaya""",Wood,US,211.4,45.5,21.5,1401.74,1331.66,"Fall River, MA",Philadelphia,PA,"Fall River, MA",John F Allen,10,,0,"$62,000",,2000 ton coal,,Y,Y,"#126583; Near ""Vizcaya""",
S.S.County of Edinburgh,Freida,R & J Craig,schooner,1885,"Glasgow, Scotland",2/12/1900,1900,2,12,Squan Beach LSS S 1.25 mi,,,Stranded,Iron,England,285.6,42.5,24.3,2160,2011,"Edinburgh, England",Cape Town,SA,"New York, NY",F W J Tode,29,,0,"$100,000",,In ballast,Squan Beach & Bay Head,N,Y,"#90060; Refloated; Eventually lost in 1916 as ""Freida"" ",
S.S.Cretanan,,,schooner,,,7/4/1865,1865,7,4,Barnegat,,,,,,,,,,,,New York,NY,,,5,,0,,,Lime,,,N,,
S.S.Crisis,,,schooner,1858,"Melville, NJ",1/6/1872,1872,1,6,Sandy Hook,,,Burned,,US,,,8,132,,"Great Egg Harbor, NJ",Virginia,,"New York, NY",,,,,,,,,,N,"Saved by ""W A Hennessy""",
S.S.Crusader (1842),,,schooner,,,11/8/1841,1841,11,8,Squan Inlet bar,,,Struck bar,,,,,,,,"Portsmouth, RI",Boston,MA,"Portsmouth, RI",,1,3,3,,,,,N,N,Sank,
S.S.Cuba,,William Vaughan,schooner,1870,"St George, New Brunswick",1/16/1879,1879,1,16,Ship Bottom LSS E .75 mi,,,Stranded,,England,90,28,8.8,144,,"St John, NB, Canada ",Areciba,PR,"New York, NY",A O Hutchinson,6,,0,"$2,700","$9,000",Molasses,Ship Bottom #20,Y,N ,#64497; Total loss,
S.S.Custus W Wright,,,schooner,1871,"Drawbridge, DE",10/15/1905,1905,10,15,Barnegat Inlet NNE .75 mi,,,Grounded,,,80.1,26,6,113,107,"Perth Amboy, NJ",New York,NY,"Hampton, VA",Wooley,4,0,0,"$2,000",,,Barnegat,N,N ,#5892; Refloated,
S.S.Cybele,,,schooner,,,9/11/1879,1879,9,11,Squan Inlet,,,Stranded,,,,,,8,,"South Amboy, NJ",Princess Bay,NY,"Toms River, NJ",Hyers,2,,0,$500,,,Squan Beach #9,N,N,Refloated,
S.S.Cynthia,,,schooner,1906,"Vincent Cove, MA",4/20/1906,1906,4,20,Sandy Hook Romer Shoal,,,Stranded,,,105.5,24.5,11,137,98,"Gloucester, MA",New York,NY,Fishing service,Jeff Thomas,,,,,,90 bbls mackeral,,N,N,Refloated; Later sank 2/14/1914,
S.S.D B Mayhew,,,schooner,1871,"Bristol, ME",5/17/1895,1895,5,17,Barnegat Inlet,,,Stranded,,,49.5,15.5,6.6,23.51,22.33,"New York, NY",,,,Patterson,6,,0,"$1,000",,Ice,Barnegat & Forked River,N,N,#6715; Refloated,
S.S.D H Bisbee,,,schooner,1866,"Damariscotta, ME",12/1/1875,1875,12,1,Barnegat SE 30 mi,,,In distress,,,85,24.4,8,141,,"Camden, ME",Para,Brazil,"New York, NY",Ellis,,,,,,,,N,N,Partial loss; Towed in,
S.S.D H Ingraham,,,schooner,1874,"Stockholm, ME",12/4/1886,1886,12,4,Hereford Inlet North bar,39-00-48 N,74-42-00 W,Stranded; Burned,,,,,,203.19,193.04,"Rockland, ME",Rockland,ME,"Richmond, VA",James Mullen,5,,0,"$8,000","$2,300",Lime,Hereford Inlet,,N,#6821,
S.S.D J Whealton (1910),,,schooner,1875,"Swausgut, VA",2/5/1910,1910,2,5,Little Beach LSS E 2 mi,,,Grounded,Wood,US,63.5,19.8,6,48,35,"Chincoteague, VA",Chincoteague,VA,"Beach Haven, NJ",,3,,0,"$3,000",$900,Lumber,Little Beach,N,N,#6861; Refloated,
S.S.D J Whealton (1911),,,schooner,1875,"Swausgut, VA",4/7/1911,1911,4,7,Barnegat LSS N 1 mi,,,Grounded,Wood,US,63.5,19.8,6,48,35,"Chincoteague, VA",Cobb Island,VA,"Barnegat, NJ",,3,,0,"$3,000",$350,Oysters,Barnegat,N,N,#6861; Refloated,
S.S.D M Anthony (1881),,,schooner,1873,"Fall River, MA",12/27/1881,1881,12,27,Sandy Hook LSS NNE 1.5 mi,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton, MA",Baltimore,MD,"Boston, MA",Moore,8,,0,"$25,000","$2,500",Coal,Sandy Hook #1,N,N,#6798; Refloated,
S.S.D M Anthony (1883),,,schooner,1873,"Fall River, MA",11/13/1883,1883,11,13,Hereford Inlet North bar,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton, MA",Boston,MA,"Philadelphia, PA",Moore,7,,0,"$25,000","$5,000",General,Hereford Inlet #36,N,N,#6798; Refloated,
S.S.D M Anthony (1895A),,,schooner,1873,"Fall River, MA",1/13/1895,1895,1,13,Sandy Hook Romer Shoal,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Boston, MA",Philadelphia,PA,"Boston, MA",Moore,8,,0,"$25,000", ,Coal,Sandy Hook #1,N,N,#6798; Refloated,
S.S.D M Anthony (1895B),,,schooner,1873,"Fall River, MA",10/10/1895,1895,10,10,Forked River LSS N 1.75 mi,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Boston, MA",Rockport,ME,"Philadelphia, PA",Moore,6,,0,"$12,000","$2,800",Paving stones,Cedar Creek,N,N,#6798; Refloated,
S.S.D W McLean,,,schooner,1883,"Norwalk, CT",3/9/1889,1889,3,9,Hereford Inlet South bar,,,Stranded,Wood,US,128.3,29.5,10.5,296.06,281.26,"New York, NY",Georgetown,SC,"New York, NY",Hutchinson,6,,0,"$25,000","$3,000",Railroad ties,Hereford Inlet,N,N,#157085; Refloated undamaged,
S.S.D W Saunders,,,schooner,,,1857,1857,,,Squan Beach,,,Stranded,,,,,,,,,Beaufort,NC,"New York, NY",Cranmer,5,,,"$11,100",,,,Y,N,Broke up,
S.S.Daniel B Foster,,,schooner,,,6/1857,1857,6,,Delaware Breakwater,,,Foundered,,,,,,,,,James River,VA,"New York, NY",,,,,"$5,000",,,,,N,,
S.S.Daniel Holmes,,L H Hopkins,schooner,1860,"Patchogue, NY",5/18/1872,1872,5,18,Barnegat,,,"Collision w/ ""George Washington""",Wood,US,,,11,307,,"New York, NY",Baltimore,MD,"Hoboken, NJ",Joseph P Haywood,,,2,,,Coal,,Y,N,Total loss,
S.S.Daniel Pierson,,,schooner,1866,"Waldoboro, ME",2/24/1877,1877,2,24,Sandy Hook,,,"Collision w/ ""Irvine""",,,,,,265,,"Boston, MA",Port Royal,SC,"Boston, MA",,,,,,,,,N,N,#6082; Partial loss,
S.S.Daniel W Baker,,,schooner,,,5/17/1853,1853,5,17,Cape May,,,Foundered,,,,,,,,"Portsmouth, VA",,,,,5,,0,,,,,Y,N,"Crew rescued by ""Banquet""",
S.S.Danville,,,schooner,,,7/20/1864,1864,7,20,Highlands E 7 mi,,,Burned,,,,,,330,,"New York, NY",New York,NY,"Port Royal, SC",Goodale,7,,0,,,Hay & oats,,Y,N,"Total loss; Crew rescued by ""Gladiator""",
S.S.David Atkins,,,schooner,,"Absecon, NJ",4/22/1843,1843,4,22,,,,,,,,,,,,"Provincetown, MA",Norfolk,VA,"New York, NY",Dyer,,,0,,,,,,N,,
S.S.David Collins,,Golthwaite,schooner,1866,"Philadelphia, PA",10/3/1875,1875,10,3,Townsends Inlet North bar,39-06-30 N,74-42-00 W,Grounded,,,,,11,375,,"Philadelphia, PA",New York,NY,"Washington, DC",Townsend,7,0,0,"$10,000","$5,000",Stone,Townsends Inlet #34,,N,,
S.S.David G Floyd,,,schooner,1855,"Greenport, NY",9/2/1886,1886,9,2,Hereford Inlet,,,,,US,,,,191.32,181.75,"Newport, RI",Providence,RI,"Philadelphia, PA",Blake,5,0,0,"$4,000","$3,000",Iron & steel,Hereford Inlet LSS,,N,#6245,
S.S.David Milliken,,,schooner,,"Philadelphia, PA",1/30/1878,1878,1,30,Little Egg Harbor bar,,,,,US,,,,145,,"Milford, DE",Baltimore,MD,"Brooklyn, NY",Robinson,5,0,0,"$12,000","$1,000",Coal,Little Egg LSS,N,N ,#6945; Refloated,
S.S.David Rogers,,,schooner,,,2/1845,1845,2,,,,,"Struck on the ""Flogger""",,,,,,,,,Philadelphia,PA,"Jersey City, NJ",,,,,,,,,,N,,
S.S.David S Siner,,Macy,schooner,1861,"Milford, DE",4/4/1872,1872,4,4,Barnegat,,,,,US,,,10,232,,"Philadelphia, PA",Philadelphia,PA,"Boston, MA",Huntley,,,,,,,,,N,,
S.S.David Smith,,,schooner,,,1858,1858,,,New Jersey coast,,,,,,,,,,,,Philadelphia,PA,"New York, NY",,,,,"$5,000",,,,,N,,
S.S.David Tolck,,John Zittlosen,schooner,1873,"Millbridge, ME",2/26/1879,1879,2,26,Harvey Cedars,,,Stranded,,US,132,30,13,445,,,Sagua La Grande,Cuba,"New York, NY",Sawyer,7,2,5,"$15,000","$40,000",Sugar & Hogsheads,Barnegat,Y,N ,#6791; Rigging saved & sold in NY,
S.S.De Mora Gray ,,,schooner,1874,,11/8/1912,1912,11,8,Old Cranberry Inlet,36-56-20 N,74-04-00 W,,,,,,,401,,,,,,,,,,,,,,,N,Inlet is now Seaside Heights,
S.S.De Mory Gray,,Brewster,schooner,,,3/8/1874,1874,3,8,Barnegat N 6 mi,,,,,,135,32,10,276,,"Brookhaven, NY",Ashley River,SC,"New Haven, CT",Brewster,,,,,,Lumber,,N,N,Refloated,
S.S.Deane,,P Bangs,schooner,1845,"Provincetown, MA",4/8/1864,1864,4,8,,,,"Collision w/ ""W.S.Baker""",,US,70,19.1,7.6,89,,,Quincy,MA,Fortress Monroe,,5,0,0,,,Stone,,,N,#1140,
S.S.Deborah,,,schooner,,,1/21/1855,1855,1,21,Absecon,,,Struck a rock,,US,,,,,,,Washington,DC,"New York, NY",,,,,,,,,,N,,
S.S.Deborah H Diverty,,,schooner,1874,"Dennisville, NJ",6/26/1884,1884,6,26,Sea Isle City LSS E 12 mi,,,Foundered,,,,,,187.17,,"Dennisville, NJ",Richmond,VA,"New York, NY",,,,9,,,Coal,Sea Isle City #34,,N,#6844,
S.S.Decation,,,schooner,,,4/4/1836,1836,4,4,,,,,,US,,,,,,"Tuckerton, NJ",,,,,,,0,,,,,,N,,
S.S.Deceiver,,Joseph E Bennett,schooner,1871,"Fish Creek, NJ",4/29/1884,1884,4,29,Barnegat Shoal,,,Grounded in storm,,,,,,23,,"Tuckerton, NJ",Hog Island,VA,"Barnegat, NJ",Joseph E Bennett,3,,0,"$1,500",$200,Oysters,,Y,N,#6015; Total loss,
S.S.Delight (1761),,Thomas Wallace,schooner,,,4/8/1761,1761,4,8,Little Egg Harbor,,,Stranded,,,,,,,,,South Carolina,,"Philadelphia, PA",John Byrne,,,1,,,,,,N,#959; Crew Mutiny,
S.S.Denie Hastings,,Daniel S Tilton,schooner,1865,,,,,,Turtle Gut Inlet,,,Stranded,,,,,,,,"Great Egg Harbor, NJ",Norfolk,VA,"New York, NY",Daniel S Tilton,,,,,,Coal,,,N,#6186,
S.S.Dick Williams,,,schooner,,,11/2/1878,1878,11,2,Little Egg Harbor bar,,,Stranded,,,,,,184.87,,"Philadelphia, PA",,,,,7,,,,,,Little Beach,,N,#6349,
S.S.Dione,,Maloney,schooner,1871,"Stockton, ME",12/8/1885,1885,12,8,Sandy Hook,,,Damaged in gale,,US,111.5,27.6,10.8,211,,"Boston, MA",Monte Christo,,"New York, NY",Raynes,,,,,,Logwood,,N,N,#6710; Partal loss,
S.S.Dispatch,,,schooner,,,12/19/1855,1855,12,19,Squan Inlet S 5 mi,40-01-42 N,74-03-00 W,Grounded,,,,,,,,,New York,NY,"Philadelphia, PA",,,,,,,,Mantaloking #11,Y,N,Total loss,
S.S.Dora M French,,J S Jenness & Co,schooner,1874,"Brewer, ME",6/26/1884,1884,6,26,Barnegat,,,Damaged in gale,,,113,29.2,9.1,216,,,,,,French,,,,,,30 hogshead and Molasses,,N,N,#6811,
S.S.Dorah A Baker,,J W Elwell & Co,schooner,1860,"Philadelphia, PA",3/26/1867,1867,3,26,"Long Branch, NJ",,,Stranded,,,120,29,11,260,,"New York, NY",,,,Eldridge,5,,0,"$8,000",,,,Y,Y,Total loss,
S.S.Dorcas,,,schooner,,,12/2/1837,1837,12,2,Delaware Breakwater,,,Grounded,,,,,,,,"Philadelphia, PA",Philadelphia,PA,"Washington, DC",,,,,,,,,Y,N,Total loss,
S.S.Dorin,,,schooner,,,2/19/1923,1923,2,19,Delaware Bay NJ side,39-09-00 N,75-01-00 W,Drifting; Bowsprit broken,,England,,,,,,,,,,,,,,"$25,000",,,,N,N,"Towed to NY by USCG ""Seneca""",
S.S.Dorothy B Barrett,,Gardiner G Deering,schooner,1904,"Bath, ME",8/14/1918,1918,8,14,"Angelsea, NJ SE 22 mi",38-54-00 N,74-34-00 W,Torpedoed by U-117,,,259,45.4,25.1,2088,1799,,New York,NY,New England port,William Merritt,10,,0,,,Coal,,Y,Y,#201637; Crew allowed to leave,
S.S.Dr John Stradley,,Charles Krier,schooner,1852,,3/25/1875,1875,3,25,Cape May,,,Stranded,Wood,,,,,57.46,,"Philadelphia, PA",Philadelphia,PA,"Cape May, NJ",Hiram Springster,4,,0,"$1,500",$250,50 ton lumber,,Y,N,#6339; Ship lost; Cargo saved,
S.S.Dr R Proctor,,Lovell & Brothers,schooner,1851,"Trenton, ME",12/9/1864,1864,12,9,Sandy Hook,,,Grounded during gale,Wood,,,,7,59,,"Boston, MA",Boston,MA,"Falmouth, MA",,,,,,,,,,N,#1186,
S.S.Dragon,,,schooner,,,1/7/1870,1870,1,7,Sandy Hook,,,Collision w/ Spanish Gunboat #18,,England,,,,,,,New York,NY,"Port of Spain, Trinidad",Weeks,,,,,,,,N,N,Towed to Upper Quarantine,
S.S.Durock,,,schooner,,,4/28/1850,1850,4,28,Little Egg Harbor shoal,,,Stranded in storm,,,,,,,,"Newcastle, ME",Baltimore,MD,"Newcastle, MD",,,,,,,Flour,,Y,N,Total loss; Crew rescued,
S.S.E & C Dayton,,,schooner,,,10/21/1875,1875,10,21,Long Branch  S 4 mi,,,"Stranded on wreck of ""Lizzie Maul""",,,,,,10.45,,"Port Jefferson, NY",,,,,,,,,,,,N,N,#8344; Refloated,
S.S.E and L Cordery,,,schooner,,,3/3/1878,1878,3,3,Cape May Light E 8 mi,,,Foundered after being rammed,,,,,,371,,"Great Egg Harbor, NJ",Richmond,VA,"Providence, RI",Higbee,7,,0,"$10,000","$3,500",Coal,Cape May #40,Y,No,#7456; Total loss,
S.S.E Arcularis,,,schooner,1851,"South Thomaston, ME",9/15/1895,1895,9,15,Sandy Hook Point,,,Stranded in storm,,,79,22,8.3,100,94.9,"Rockland, ME",Philadelphia,PA,"Rockland, ME",White,5,,0,"$1,000",$825,Coal,Sandy Hook,N,N,#8120; Refloated,
S.S.E B Fithian (1881),,C A Clemont,schooner,1864,"Greenwich, NJ",9/21/1881,1881,9,21,Hereford Inlet South bar,,,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ",Hog Island,VA,"New York, NY",J B Higbee,3,,0,"$1,500","$1,000",21 ton sweet potato,Hereford Inlet #36,N,N,#8020; Refloated,
S.S.E B Fithian (1883),,C A Clemont,schooner,1864,"Greenwich, NJ",11/28/1883,1883,11,28,Point Creek,,,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ",Port Republic,NJ,"New York, NY",J B Higbee,3,,0,"$1,000",$500,Oysters,Little Egg Harbor,N,N,#8020; Refloated,
S.S.E B Leisenring,,N A Davidson,schooner,1882,"Camden, NJ",2/14/1884,1884,2,14,Highlands SSE 10 mi,,,"Collision w/ ""Hiawatha""",,,138.3,34,11.9,432,,"Philadelphia, PA",Matanzas,Cuba,"Boston, MA",,,,,,,,,N,N,#135570; Repaired,
S.S.E C Hay,,William Denbigh,schooner,1873,"Sinepuxent, MD",6/28/1906,1906,6,28,Hudson River Hoboken E,,,Collision w/ C F Tietgen,Wood,US,70,25.1,5.9,63,60,"Newark, NJ",Newark,NJ,"Harlem River, NY",William Denbigh,4,0,0,,,Stone,,Y,Y,#8903;,
S.S.E C Knight Jr (1891),,G W Shepherd,schooner,1874,"Port Republic, NJ",5/22/1891,1891,5,22,Brigantine Beach,,,Dismasted,Wood,US,121.3,32.4,9,247.29,234.93,"Philadelphia, PA",New York,NY,"Norfolk, VA",John Huntley,6,,0,"$2,500","$2,500",250 ton plaster,,N,N,#8992; Towed to Philadelphia,
S.S.E C Knight Jr (1903),,Ezra S Bartlett,schooner,1874,"Port Republic, NJ",4/22/1903,1903,4,22,Cape May SE 5 mi,,,"Collision w/ ""Rebecca M Smith""",Wood,US,121.3,32.4,9,247.29,234.93,"Philadelphia, PA",Claremont,VA,"New York, NY",John Oronberg,6,,0,"$5,000","$1,600",200 cords pine wood,,N,N,#8992; Partial damage,
S.S.E Clossen,,,schooner,,,12/3/1869,1869,12,31,Sandy Hook Point,,,Stranded,,,,,,,,"Brookhaven, NY",New York,NY,"Humacoa, PR",,,,,,,,,N,N,Refloated,
S.S.E F C Young (1895),John N Sherwood,,schooner,1883,"Athens, NY",11/3/1895,1895,11,3,Absecon Beach North Point,,,Stranded,Wood,US,93.8,27.2,6.7,113.43,107.76,"Baltimore, MD",Atlantic City,NJ,"Hampton Roads, VA",E D Gladding,5,,0,"$6,000",,,Atlantic City,N,N,#76443; Refloated,
S.S.E F C Young (1897),John N Sherwood,,schooner,1883,"Athens, NY",5/1/1897,1897,5,1,Spermaceti Cove LSS N 1 mi,,,Foundered in gale,Wood,US,93.8,27.2,6.7,113.43,107.76,"Baltimore, MD",James River,VA,"Verplancks Point, NY",Thomas,5,,0,"$5,000",$475,Wood,Spermaceti Cove #2,Y,N,#76443; Total loss,
S.S.E F Lewis,,E White,schooner,1854,,11/3/1864,1864,11,3,,39-19-00 N,74-00-00 W,"Sunk by ""Ol Ustee""",,,,,,182,,"Portland, ME",Portland,ME,"Philadelphia, PA",Lee,,,,,,General,,Y,N,Sunk by Confederate Raider,
S.S.E G Willard,,Chase & Thomas,schooner,1859,"Cape Elizabeth, ME",8/30/1865,1965,8,30,Seven Mile Beach,,,Stranded,,,,,10,130,,"Portland, ME",,,,,,,,,,Coal,,N,N,Refloated,
S.S.E H Atwood,,,schooner,,,5/30/1878,1878,5,30,Deal Beach,,,Stranded in gale,,,,,,259,,"Philadelphia, PA",Philadelphia,PA,"Providence, RI",Gardner,6,,0,"$4,000","$1,200",Coal,Deal #6,Y,N,#8080;Total loss,
S.S.E H Weaver,,,schooner,1882,"Bath, ME",3/23/1896,1896,3,23,Sandy Hook Romer Shoal,,,Stranded,,,153.6,35.4,15.5,687,,"New Haven, CT",New Haven,CT,"Newport News, VA",Weaver,8,,0,"$10,000",,,,N,N,#135582; Refloated,
S.S.E H Williams (1880),,,schooner,1868,"Hartford, CT",7/25/1880,1880,7,25,"Long Branch, NJ",,,"Collision w/ ""Lydia Middleton""",,,,,,146.67,139.34,"Haddam, CT",New York,NY,"Alexandria, VA",D C Russell,5,,0, , , ,,N,N,#8320; Repaired,
S.S.E H Williams (1884),,,schooner,1868,"Hartford, CT",3/25/1884,1884,3,25,Great Egg Harbor E,,,Collision,,,,,,146.67,139.34,"Haddam, CT",Hartford,CT,"Newport News, VA",D C Russell,5,,0, , , ,,N,N,#8320; Repaired,
S.S.E H Williams (1885),,,schooner,1868,"Hartford, CT",11/30/1885,1885,11,30,Holly Beach E 1.25 mi,,,Wrecked,,,,,,146.67,139.34,"Haddam, CT",Philadelphia,PA,"Middletown, CT",D C Russell,5,,0,"$8,000",$720,Coal,Holly Beach,Y,N,#8320; Total loss,
S.S.E J Hamilton,,,schooner,1873,"Nyack, NY",5/20/1881,1881,5,20,Sandy Hook Point,,,Stranded,,,111,30,8,188,178.67,"New York, NY",Virginia,,"New York, NY",Inman,6,,0,"$5,000","$1,000",Wood,,N,N,#8923; Refloated,
S.S.E Nickerson,,E Nickerson et al,schooner,1854,"Bridgeport, CT",12/3/1876,1876,12,3,Turtle Gut Inlet North bar,,,Stranded,,,,,11,198,,"Dennis, ME",Boston,MA,"Washington, DC",Haskell,7,,0,"$7,000",$300,Salt,#38,N,N,Refloated,
S.S.E S Conant,,,schooner,,,11/29/1865,1865,11,29,Townsends Inlet bar,,,Stranded,,,,,,,,,Boston,MA,"Philadelphia, PA",,,,,,,Lumber,,N,N,Refloated,
S.S.E W Evans,,,schooner,,,5/16/1864,1864,5,16,Long Beach S 10 mi,,,Grounded in fog,,,,,,,,"Baltimore, MD",Bermuda,,"New York, NY",,,,0,,,Salt,,,N,,
S.S.E W Gardner,,Conroy & Co,schooner,1855,"Gloucester, NJ",10/23/1868,1868,10,23,Townsends Inlet,39-06-30 N,74-42-00 W,Grounded,,,,,10,203,,"Philadelphia, PA",Boston,MA,"Philadelphia, PA",,5,,,"$7,000",,Ballast,,Y,N,Total loss,
S.S.E W Perry,,,schooner,,,5/8/1869,1869,5,8,Tuckers Beach,,,Wrecked,,,,,,,,,Nahant,MA,"Philadelphia, PA",James Summers,,,,,,Ballast,,,N,,
S.S.E Waterman,,,schooner,1868,"Washington, NJ",8/10/1895,1895,8,10,Absecon Inlet,,,Stranded,,,91.1,23.6,7.8,107,102.11,"Calais, ME",Calais,ME,"Atlantic City, NJ",Huntley,6,,0,"$5,000","$4,000",Lumber,,N,N,#7008; Refloated,
S.S.Eagle Wing,,,schooner,1891,"Kennebunkport, ME",2/19/1903,1903,2,19,Sandy Hook,,,"Collision w/ ""R & T Hargraves""",,,219.7,40.4,30.8,1232,,,,,,,,,,,,,,Y,N,#136199; Total loss,
S.S.Early Bird,,Bentley Gildersleeve & Co,schooner,1865,"East Haddon, CT",3/26/1815,1815,3,26,Townsends Inlet North bar,,,Stranded,,,,,8,151,,"New York, NY",New York,NY,"St Augustine, FL",Reed,6,,0,"$5,500","$9,000",General ,,N,N,Refloated,
S.S.Eben D Jordan #9,,Sandy Hook Pilots,schooner,1883,"Boston, MA",1892,1892,,,Barnegat,,,"Collision w/ ""Saginaw""",,,73.2,21.2,9.8,68.81,65.37,,,,,Thomas Cooke,,,,,,,,N,N,#135645; Later refloated,
S.S.Echo,,,schooner,,,1/13/1856,1856,1,13,"Long Branch, NJ",,,Grounded,,,,,,,,"Baltimare, MD",Baltimore,MD,"New York, NY",,5,,0,,,Coal,,Y,N,Total loss,
S.S.Eclipse (1872),,,schooner,,,2/2/1872,1872,2,2,Townsends Inlet,,,"Collision w/ ""Mary H Stockton""",,,,,,,,,New York,NY,Savanah River,,,,,,,,,N,N,Damaged; Partial loss,See scrapbooks 38 - 43 - Purple Misc
S.S.Eden,,,schooner,1864,,4/22/1907,1907,4,22,"Billingsport, NJ",,,Foundered,,,,,,40,,"Williamsport, NJ",,,,,10,,3,,,,,,N,#8360,
S.S.Edith (1895),,,schooner,1866,"Columbia, ME",10/31/1895,1895,10,31,Little Beach LSS S 1 mi,,,Grounded,Wood,US,102.1,28.6,9.5,198,187.63,"Boston, MA",Boston,MA,"Wilmington, NC",Betts,6,,0,"$5,000","$5,500",Guano,,Y,N,#8083; Total loss,
S.S.Edith and May,,,schooner,1891,"Millbridge, ME",9/7/1905,1905,9,7,Sea Isle City LSS NE 3.5 mi,,,Grounded,Wood,US,95.4,26.2,7.3,128,103,"New London, CT",Fernandina,FL,"New York, NY",Birch,5,,0,"$4,500","$1,500",Lumber,"Sea Isle City, Corsons Inlet",N,N,#136234; Refloated,
S.S.Edith B Everman,E B Everman,M Cain et al,schooner,1869,"Goshen, NJ",5/17/1885,1885,5,17,Little Egg Harbor NNW 12 mi,,,"Collision w/ ""Pottsville""",Wood,US,116,29.1,9.1,250.17,,"Philadelphia, PA",Newport,RI,"Philadelphia, PA",Charles Vanerman,6,,0,"$5,000",,In ballast,,N,N,#8553; Minor damage,
